minimap2
Q	60	30853	8	0.000259294	30853
Q	55	23	1	0.000291489	30876
Q	54	18	2	0.000356056	30894
Q	53	40	2	0.000420250	30934
Q	51	39	1	0.000452007	30973
Q	49	47	1	0.000483559	31020
Q	47	18	1	0.000515497	31038
Q	46	49	1	0.000546852	31087
Q	44	49	1	0.000578109	31136
Q	42	34	2	0.000641643	31170
Q	40	24	2	0.000705264	31194
Q	39	20	1	0.000736849	31214
Q	38	25	2	0.000800282	31239
Q	37	16	1	0.000831867	31255
Q	36	22	2	0.000895227	31277
Q	35	26	1	0.000926429	31303
Q	34	25	1	0.000957610	31328
Q	33	18	1	0.000988962	31346
Q	32	57	2	0.001050855	31403
Q	30	38	3	0.001145002	31441
Q	29	27	1	0.001175798	31468
Q	28	34	4	0.001301505	31502
Q	27	30	4	0.001427122	31532
Q	26	37	2	0.001488802	31569
Q	25	30	2	0.001550682	31599
Q	24	47	9	0.001832775	31646
Q	23	50	12	0.002208481	31696
Q	22	38	6	0.002394908	31734
Q	21	45	7	0.002611788	31779
Q	20	48	9	0.002890627	31827
Q	19	44	4	0.003012143	31871
Q	18	49	2	0.003070175	31920
Q	17	53	9	0.003346574	31973
Q	16	57	9	0.003621605	32030
Q	15	71	6	0.003800505	32101
Q	14	50	9	0.004074523	32151
Q	13	54	8	0.004316100	32205
Q	12	73	15	0.004771051	32278
Q	11	60	10	0.005071433	32338
Q	10	77	13	0.005460435	32415
Q	9	87	12	0.005815027	32502
Q	8	87	16	0.006290466	32589
Q	7	83	27	0.007100881	32672
Q	6	103	28	0.007932876	32775
Q	5	103	35	0.008972565	32878
Q	4	95	40	0.010159828	32973
Q	3	97	36	0.011218627	33070
Q	2	100	54	0.012812783	33170
Q	1	111	52	0.014332502	33281
Q	0	428	260	0.021863597	33709
