"ONT 12 threads"	1.7	10.9	18.3	66.9	2.4
"ONT 24 threads"	1.7	10.9	18.7	66.9	1.8
"ONT 48 threads"	1.9	11.3	17.3	67.3	2.2
"Illumina 12 threads"	3.8	26.1	7.9	52.9	9.3
"Illumina 24 threads"	3.8	24.7	8	53.6	9.9
"Illumina 48 threads"	3.7	25.7	7.9	54.4	8.3
