# GRCh38, k 16, w 10, b 32
1000002	153
2000014	70
3000008	73
4000000	86
5000001	66
6000010	71
7000004	68
8000003	71
9000000	66
10000000	68
11000004	69
12000000	71
13000006	73
14000002	69
15000023	65
16000001	73
17000008	78
18000003	66
19000002	67
20000006	76
21000002	74
22000000	69
23000022	70
24000005	83
25000010	67
26000008	71
27000000	69
28000001	70
29000000	82
30000001	68
31000000	84
32000001	73
33000000	75
34000007	87
35000001	75
36000001	71
37000012	68
38000006	65
39000000	65
40000007	76
41000002	69
42000000	77
43000014	71
44000001	68
45000005	68
46000000	70
47000013	68
48000000	70
49000002	69
50000003	70
51000005	68
52000002	68
53000003	83
54000001	88
55000002	71
56000000	71
57000003	77
58000006	69
59000007	73
60000000	71
61000009	69
62000006	70
63000003	72
64000000	68
65000004	67
66000000	69
67000006	72
68000002	72
69000008	67
70000003	68
71000010	68
72000008	72
73000017	75
74000006	71
75000005	74
76000007	73
77000002	66
78000007	66
79000013	67
80000001	66
81000002	71
82000002	76
83000003	68
84000009	67
85000002	69
86000000	68
87000002	66
88000010	67
89000003	65
90000006	66
91000004	65
92000000	71
93000006	69
94000001	68
95000016	67
96000000	67
97000006	66
98000000	69
99000006	66
100000006	73
101000006	68
102000011	72
103000002	71
104000004	71
105000006	73
106000000	66
107000010	65
108000001	64
109000004	66
110000002	66
111000006	71
112000006	71
113000017	72
114000005	66
115000009	83
116000001	67
117000001	65
118000000	67
119000001	66
120000012	74
121000001	64
122000007	67
123000003	68
124000000	68
125000001	67
126000001	78
127000001	67
128000001	80
129000001	66
130000001	68
131000000	65
132000000	65
133000021	65
134000007	68
135000000	68
136000000	69
137000002	64
138000007	65
139000001	65
140000000	64
141000005	68
142000010	65
143000004	68
144000010	70
145000001	68
146000004	68
147000000	67
148000009	67
149000000	68
150000001	62
151000007	65
152000004	68
153000000	68
154000000	84
155000002	68
156000004	70
157000002	64
158000003	65
159000006	64
160000004	63
161000008	67
162000004	74
163000002	70
164000000	65
165000001	68
166000005	64
167000000	64
168000000	66
169000006	63
170000019	64
171000010	66
172000000	64
173000011	107
174000000	68
