10	91	84947338	0	1543	1471

11	87	77146455	0	1292	1230

12	76	71594433	0	1104	1059

13	64	67529261	0	924	880

14	59	63695771	0	799	765

15	55	59910260	0	710	667

16	53	56536764	0	626	586

17	55	52303642	0	557	515

18	56	48924505	0	496	465

19	52	46815563	0	449	396

20	48	44752440	0	405	376

21	49	42116315	0	375	327

22	54	39481277	0	342	312

23	51	37977755	0	316	287

24	47	36603968	0	276	262

25	41	35809320	0	267	244

26	45	33701078	0	253	223

27	40	32953478	0	224	199

28	36	32220874	0	216	186

29	36	30955198	0	204	181

30	36	29800539	0	191	167

31	33	29134295	0	185	156

32	35	27943596	0	170	147

33	33	27278234	0	156	136

34	32	26624870	0	149	125

35	30	26240272	0	139	122

36	30	25430123	0	134	113

37	27	25180341	0	129	111

38	26	24629176	0	124	106

39	31	23256058	0	116	100

40	33	22235938	0	113	96

41	30	22008828	0	110	91

42	26	21900883	0	104	88

43	28	21111162	0	100	82

44	26	20762722	0	94	81

45	24	20578301	0	92	75

46	24	20006833	0	89	75

47	22	19939158	0	85	70

48	20	19813991	0	81	66

49	20	19277255	0	79	65

50	19	18976158	0	76	62

